,id,address,categories,city,latitude,longitude,name,postalCode,province,dateAdded_f,dateUpdated_f
5874,AVwcf1nTkufWRAb5vyyg,3657 E Main St,"Delis And Delicatessens,wich Place,Take Out Restaurants,Fast Food Restaurants,optometrists,Sandwich Place,Restaurants,Sandwich Shops",Columbus,39.9557,-82.9017,Subway,43213,OH,2016-03-28,2019-04-01
5875,AVwc9HDZByjofQCxj_4u,8675 Sancus Blvd,"Delis And Delicatessens,Restaurant,Carry-out food,Delicatessens,wich Place,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Sandwich Place,Restaurants,Sandwich Shops",Columbus,40.1411,-82.9912,Subway,43240,OH,2016-04-01,2019-04-01
5932,AVweJScEByjofQCxvqbf,1455 Cassady Ave,"Ice Cream Parlors,Breakfast,Burgers,Fast Food,Coffeehouses,Salads,Hamburgers,Restaurants,Frozen Yogurt Shops,Sandwich Shops",Columbus,40.0,-82.9307,McDonald's,43219,OH,2015-11-19,2019-04-01
5934,AVwcvSZ6kufWRAb5yflf,1035 Polaris Pkwy,"Pizza,Restaurant,Food Delivery,Take Out Restaurants,Fast Food Restaurants,Pizza Place,Pizza Place Polaris,Restaurants,Pizza Place and Fried Chicken Joint",Columbus,40.1456,-82.9938,Domino's Pizza,43240,OH,2016-04-20,2019-04-01
5935,AVwcn7jGIN2L1WUfnEQJ,163 N High St,"Delis And Delicatessens,Restaurant,Carry-out food,Delicatessens,wich Place,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Sandwich Place,Restaurants,Sandwich Shops",Columbus,39.9657,-83.0015,Subway,43215,OH,2016-03-28,2019-04-01
5938,AVweCQX1_7pvs4fz_dsN,5352 N Hamilton Rd,"Carry-out food,Delicatessens,Wholesale salads,Ice cream and frozen desserts-wholesale and manufacturers,Take Out Restaurants,Fast Food Restaurants,Restaurants,Delis And Delicatessens,Restaurant,wich Place,Sandwiches,Sandwich Place,Sandwich Shops",Columbus,40.0655,-82.863,Subway,43230,OH,2016-07-06,2019-04-01
5939,AVwcy6Zu_7pvs4fzzDHk,323 N 20th St,"Delis And Delicatessens,Carry-out food,Restaurant,Delicatessens,Take Out Restaurants,Fast Food Restaurants,Karaoke,Sandwiches,Sandwich Place,Restaurants,Sandwich Shops",Columbus,39.9732,-82.9733,Subway,43203,OH,2016-04-02,2019-04-01
5940,AVwd9_P9kufWRAb5-1pE,6001 E Broad St,"Carry-out food,Caterers,Delicatessens,American restaurants,Fast Food Restaurants,Take Out Restaurants,Restaurants,Delis And Delicatessens,Restaurant,Sandwiches,Catering,Sandwich Place,Sandwich Shops",Columbus,39.9792,-82.8436,SUBWAY,43213,OH,2016-07-20,2019-04-01
5955,AVwdatPZByjofQCxo5Pt,5125 E Main St,"Asian Restaurants,Restaurant,Caterers,Seafood Restaurants,Chinese Restaurants,Thai Restaurants,Take Out Restaurants,Fast Food Restaurants,Family Style Restaurants,Catering,Restaurants",Columbus,39.955,-82.8605,Hunan Gourmet Restaurant,43213,OH,2016-02-17,2019-04-01
5957,AVwd0oF0_7pvs4fz9k6b,771 Bethel Rd,"Carry-out food,Mexican,Taco Place,Tex-mex restaurants,Southwestern restaurants,Mexican restaurants,Take Out Restaurants,Fast Food Restaurants,Restaurants,Mexican Restaurant,Restaurant,Mexican Restaurant, Burrito Place, and Taco Place,Burrito Place",Columbus,40.0626,-83.0412,Chipotle Mexican Grill,43214,OH,2016-04-03,2019-04-01
